№;Название;Код;Цена;Что-то
1;Сбербанк;SBER;241.5;6 558.23
2;Yandex clA;YNDX;2523;5 795.90
3;ВТБ ао;VTBR;0.022825;3 535.92
4;ЛУКОЙЛ;LKOH;5085;3 457.80
5;ГАЗПРОМ ао;GAZP;166.6;3 158.82
6;+МосЭнерго;MSNG;3.176;1 590.08
7;НМТП ао;NMTP;9.175;1 566.07
8;Самолет ао;SMLT;3019.5;1 556.65
9;Совкомфлот;FLOT;87.9;1 224.11
10;Мечел ао;MTLR;173.4;1 043.49
11;Транснф ап;TRNFP;134000;1 035.29
12;VK-гдр;VKCO;643.4;956.50
13;TCS-гдр;TCSG;3343;952.86
14;МТС-ао;MTSS;325.2;948.55
15;Сургнфгз-п;SNGSP;33.4;921.13
16;Башнефт ап;BANEP;1688;914.88
17;Полюс;PLZL;10355.5;889.97
18;Новатэк ао;NVTK;1345;809.69
19;OZON-адр;OZON;1936;787.77
20;Магнит ао;MGNT;4265;767.77
21;Роснефть;ROSN;459.25;744.32
22;Татнфт 3ао;TATN;471.8;739.08
23;Polymetal;POLY;562.3;664.02
24;РуссНфт ао;RNFT;130;637.44
25;СевСт-ао;CHMF;1044;610.37
26;БСП ап;BSPBP;81.15;583.21
27;ММК;MAGN;41.325;508.33
28;iNVTQ-гдр;SFTL;150;507.30
29;Сбербанк-п;SBERP;238.62;485.23
30;iПозитив;POSI;1969;482.10
31;Сургнфгз;SNGS;25.46;449.67
32;iФармсинтз;LIFE;7.84;439.87
33;ФосАгро ао;PHOR;7436;421.39
34;ГМКНорНик;GMKN;14758;417.65
35;Юнипро ао;UPRO;1.851;365.88
36;НЛМК ао;NLMK;151.68;337.98
37;МосБиржа;MOEX;122.7;336.54
38;Система ао;AFKS;15.979;267.69
39;РУСАЛ ао;RUAL;38.575;263.52
40;ДВМП ао;FESH;61.35;226.17
41;БСП ао;BSPB;168.37;202.77
42;АЛРОСА ао;ALRS;65.92;198.38
43;РусГидро;HYDR;0.8768;197.37
44;Белуга ао;BELU;4204;169.64
45;СОЛЛЕРС;SVAV;697;165.47
46;Сегежа;SGZH;5.199;163.71
47;УралСиб ао;USBN;0.178;163.43
48;МКБ ао;CBOM;6.219;160.23
49;Россети;FEES;0.09446;150.89
50;ИнтерРАОао;IRAO;4.07;146.30
51;КузнецкийБ;KUZB;0.05648;143.60
52;Аэрофлот;AFLT;39.4;135.70
53;GLTR-гдр;GLTR;504.6;132.28
54;СПБ Биржа;SPBE;159.9;132.09
55;FIVE-гдр;FIVE;1514;129.66
56;Газпрнефть;SIBN;513.65;121.80
57;ОВК ао;UWGN;154.2;114.74
58;Мечел ап;MTLRP;190.4;114.34
59;Распадская;RASP;284.3;110.60
60;Татнфт 3ап;TATNP;470.4;96.25
61;ЛСР ао;LSRG;767.4;92.88
62;КАМАЗ;KMAZ;187.7;92.12
63;ТМК ао;TRMK;131.7;90.56
64;ПИК ао;PIKK;710;89.40
65;iHHRU-адр;HHRU;2192;89.14
66;CIAN-адр;CIAN;659.2;86.38
67;Башнефт ао;BANE;1961;85.42
68;НКНХ ап;NKNCP;83.3;84.63
69;Ростел -ао;RTKM;71.07;82.78
70;ЭН+ГРУП ао;ENPG;447.8;81.09
71;iQIWI;QIWI;684;75.27
72;ОргСинт ап;KZOSP;29.49;70.05
73;РСетиЛЭ-п;LSNGP;207.65;68.46
74;iИСКЧ ао;ISKJ;105.2;67.09
75;Аптеки36и6;APTK;13.11;62.32
76;GEMC-гдр;GEMC;622.5;54.86
77;М.видео;MVID;188.3;52.62
78;ОргСинт ао;KZOS;112.2;50.56
79;ОГК-2 ао;OGKB;0.718;47.69
80;ВХЗ-ао;VLHZ;161.2;46.27
81;AGRO-гдр;AGRO;855;45.67
82;ETLN-гдр;ETLN;82.22;39.33
83;ИНАРКТИКА;AQUA;592;36.86
84;РСетиМР ао;MSRS;1.14;35.73
85;ЮТэйр ао;UTAR;9.74;35.66
86;Ренессанс;RENI;71.1;34.67
87;iВУШХолднг;WUSH;211.87;33.85
88;ГТМ ао;GTRK;81.25;31.33
89;ЭЛ5Энер ао;ELFV;0.5678;31.10
90;ТГК-1;TGKA;0.009;30.57
91;АбрауДюрсо;ABRD;279.4;30.54
92;Росбанк ао;ROSB;103;29.92
93;РДБанк ао;RDRB;203;28.35
94;FIXP-гдр;FIXP;362.9;27.73
95;iГЕНЕТИКО;GECO;32.196;27.51
96;Селигдар;SELG;49.7;25.66
97;ТГК-14;TGKN;0.01028;25.40
98;Авангрд-ао;AVAN;1130;22.56
99;Светофор;SVET;30.9;21.97
100;Лензол. ап;LNZLP;3005;21.46
101;КрасОкт-ао;KROT;1780;20.29
102;РСетиЦП ао;MRKP;0.2344;20.16
103;MDMG-гдр;MDMG;620.4;20.03
104;Белон ао;BLNG;24.455;17.86
105;ЭнергияРКК;RKKE;14110;17.57
106;OKEY-гдр;OKEY;31.89;17.50
107;ДетскийМир;DSKY;71.32;16.89
108;Куйбазот;KAZT;660.2;16.89
109;Ростел -ап;RTKMP;71.75;16.38
110;РоссЦентр;MRKC;0.3926;16.01
111;АшинскийМЗ;AMEZ;66.835;15.67
112;Ижсталь2ао;IGST;5130;14.87
113;МГТС-4ап;MGTSP;1202;14.48
114;Мостотрест;MSTT;220.35;13.89
115;ГАЗ ао;GAZA;877.5;13.87
116;ЧеркизГ-ао;GCHE;3031;13.58
117;ИНГРАД ао;INGR;1526;13.53
118;Химпром ап;HIMCP;22;13.31
119;Акрон;AKRN;18982;12.28
120;Ижсталь ап;IGSTP;3946;11.05
121;СаратНПЗ-п;KRKNP;12980;10.77
122;Телеграф-п;CNTLP;12.72;10.72
123;НКНХ ао;NKNC;112.15;10.65
