№;Название;Код;Цена;Что-то
1;Сбербанк;SBER;241.2;5 725.73
2;Сургнфгз-п;SNGSP;34.96;4 120.76
3;ГАЗПРОМ ао;GAZP;165.47;2 873.87
4;Yandex clA;YNDX;2495;2 773.74
5;ЛУКОЙЛ;LKOH;5086;2 343.39
6;ВТБ ао;VTBR;0.022765;2 320.28
7;Polymetal;POLY;533.8;2 098.65
8;Транснф ап;TRNFP;136550;1 902.03
9;TCS-гдр;TCSG;3320;1 714.62
10;МосБиржа;MOEX;126.31;1 383.55
11;ГМКНорНик;GMKN;14758;1 210.35
12;Роснефть;ROSN;463.9;1 111.49
13;АЛРОСА ао;ALRS;66.74;1 067.21
14;Сургнфгз;SNGS;25.505;964.47
15;МТС-ао;MTSS;328.65;854.92
16;+МосЭнерго;MSNG;3.063;729.31
17;РуссНфт ао;RNFT;131.8;711.67
18;НМТП ао;NMTP;8.945;673.38
19;Татнфт 3ао;TATN;473;637.50
20;БСП ап;BSPBP;77.6;621.52
21;Новатэк ао;NVTK;1349.4;610.20
22;Аэрофлот;AFLT;40.04;604.73
23;iQIWI;QIWI;714.5;600.27
24;VK-гдр;VKCO;634;596.51
25;Совкомфлот;FLOT;87.5;575.36
26;iПозитив;POSI;1963.6;548.71
27;Магнит ао;MGNT;4250;537.53
28;Башнефт ап;BANEP;1702;536.55
29;Полюс;PLZL;10299.5;500.05
30;iNVTQ-гдр;SFTL;154.4;496.41
31;Сбербанк-п;SBERP;238.4;423.88
32;НЛМК ао;NLMK;152.26;402.88
33;OZON-адр;OZON;1935;373.52
34;Самолет ао;SMLT;3012.5;344.90
35;iHHRU-адр;HHRU;2209;320.40
36;Мечел ао;MTLR;173.76;317.81
37;iФармсинтз;LIFE;7.69;316.18
38;КузнецкийБ;KUZB;0.0605;299.23
39;Система ао;AFKS;15.922;289.85
40;ММК;MAGN;40.96;272.79
41;СевСт-ао;CHMF;1033.8;232.89
42;ПИК ао;PIKK;708;176.26
43;РУСАЛ ао;RUAL;38.64;166.46
44;ФосАгро ао;PHOR;7461;154.43
45;МКБ ао;CBOM;6.213;152.94
46;FIXP-гдр;FIXP;377.5;150.91
47;ИнтерРАОао;IRAO;4.0705;144.10
48;ОВК ао;UWGN;153.5;141.11
49;Россети;FEES;0.09396;137.92
50;Башнефт ао;BANE;1943;136.79
51;КАМАЗ;KMAZ;187.3;136.61
52;БСП ао;BSPB;167.11;134.70
53;ТГК-14;TGKN;0.01066;130.60
54;ДВМП ао;FESH;61.32;118.94
55;СПБ Биржа;SPBE;159.8;114.27
56;FIVE-гдр;FIVE;1499;110.93
57;Сегежа;SGZH;5.175;110.26
58;GLTR-гдр;GLTR;494.6;110.05
59;Белуга ао;BELU;4217;109.97
60;Авангрд-ао;AVAN;1200;106.96
61;РСетиЦП ао;MRKP;0.236;106.91
62;РСетиЛЭ-п;LSNGP;214.95;103.19
63;Ростел -ао;RTKM;71.42;102.49
64;ЛСР ао;LSRG;777;97.46
65;CIAN-адр;CIAN;663.8;88.17
66;СОЛЛЕРС;SVAV;681.5;85.36
67;АшинскийМЗ;AMEZ;67.32;82.48
68;Газпрнефть;SIBN;515.95;77.49
69;Татнфт 3ап;TATNP;472;77.18
70;Юнипро ао;UPRO;1.854;76.45
71;Мечел ап;MTLRP;190.9;74.97
72;УралСиб ао;USBN;0.1646;68.16
73;РусГидро;HYDR;0.8706;59.74
74;ТМК ао;TRMK;129.96;58.42
75;ОГК-2 ао;OGKB;0.72;57.51
76;ЭН+ГРУП ао;ENPG;447.8;55.53
77;М.видео;MVID;188.5;51.98
78;iГЕНЕТИКО;GECO;32.2;50.78
79;РоссЦентр;MRKC;0.3974;50.52
80;Распадская;RASP;283.15;48.23
81;РДБанк ао;RDRB;221;43.22
82;AGRO-гдр;AGRO;848.2;39.08
83;ОргСинт ап;KZOSP;29.27;38.09
84;iВУШХолднг;WUSH;211.1;37.18
85;ЦМТ ао;WTCM;12.56;36.04
86;РСетиМР ао;MSRS;1.145;34.60
87;Лента ао;LENT;730;33.90
88;ETLN-гдр;ETLN;81.7;33.75
89;Росбанк ао;ROSB;102;32.99
90;РсетСиб ао;MRKS;0.3875;32.29
91;АбрауДюрсо;ABRD;276;31.35
92;ОргСинт ао;KZOS;112;29.04
93;Селигдар;SELG;49.75;28.99
94;КрасОкт-ао;KROT;1789;28.03
95;iИСКЧ ао;ISKJ;104.92;27.80
96;GEMC-гдр;GEMC;610.7;27.69
97;МРСК Ур;MRKU;0.2916;26.99
98;ЦМТ ап;WTCMP;9.72;26.17
99;МГТС-4ап;MGTSP;1208;26.01
100;ТГК-1;TGKA;0.008994;25.68
101;MDMG-гдр;MDMG;637;25.66
102;НКНХ ап;NKNCP;82.58;25.61
103;ГТМ ао;GTRK;79.8;24.21
104;Аптеки36и6;APTK;13.204;24.17
105;ЧеркизГ-ао;GCHE;3029;22.13
106;МордЭнСб;MRSB;0.522;20.41
107;Ростел -ап;RTKMP;72.15;18.41
108;ВСМПО-АВСМ;VSMO;48560;17.05
109;Акрон;AKRN;18998;16.89
110;ДетскийМир;DSKY;71.32;16.49
111;Ренессанс;RENI;70.92;16.34
112;OKEY-гдр;OKEY;31.62;15.03
